Fecha,Valor
2017-08-16T00:00:00,23.5288
2017-08-17T00:00:00,23.5288
2017-08-18T00:00:00,23.5288
2017-08-21T00:00:00,23.531
2017-08-22T00:00:00,23.533
2017-08-23T00:00:00,23.5351
2017-08-24T00:00:00,23.5371
2017-08-25T00:00:00,23.5392
2017-08-28T00:00:00,23.5414
2017-08-29T00:00:00,23.5436
2017-08-30T00:00:00,23.5437
2017-08-31T00:00:00,23.5438
2017-09-01T00:00:00,23.5439
2017-09-04T00:00:00,23.5439
2017-09-05T00:00:00,23.544
2017-09-06T00:00:00,23.544
2017-09-07T00:00:00,23.544
2017-09-08T00:00:00,23.544
2017-09-11T00:00:00,23.5443
2017-09-12T00:00:00,23.5445
2017-09-13T00:00:00,23.5448
2017-09-14T00:00:00,23.5451
2017-09-18T00:00:00,23.5454
2017-09-19T00:00:00,23.5456
2017-09-20T00:00:00,23.5459
2017-09-21T00:00:00,23.5459
2017-09-22T00:00:00,23.5459
2017-09-25T00:00:00,23.5459
2017-09-26T00:00:00,23.5487
2017-09-27T00:00:00,23.5515
2017-09-28T00:00:00,23.5543
2017-09-29T00:00:00,23.5572
2017-10-09T00:00:00,23.56
2017-10-10T00:00:00,23.5687
2017-10-11T00:00:00,23.5775
2017-10-12T00:00:00,23.5835
2017-10-13T00:00:00,23.5895
2017-10-16T00:00:00,23.5955
2017-10-17T00:00:00,23.6104
2017-10-18T00:00:00,23.6255
2017-10-19T00:00:00,23.6346
2017-10-20T00:00:00,23.6438
2017-10-23T00:00:00,23.6528
2017-10-24T00:00:00,23.6645
2017-10-25T00:00:00,23.6763
2017-10-26T00:00:00,23.679
2017-10-27T00:00:00,23.6816
2017-10-30T00:00:00,23.6844
2017-10-31T00:00:00,23.6896
2017-11-01T00:00:00,23.6949
2017-11-02T00:00:00,23.6974
2017-11-03T00:00:00,23.6998
2017-11-06T00:00:00,23.7024
2017-11-07T00:00:00,23.7109
2017-11-08T00:00:00,23.7196
2017-11-09T00:00:00,23.7256
2017-11-10T00:00:00,23.7316
2017-11-13T00:00:00,23.7376
2017-11-14T00:00:00,23.7442
2017-11-15T00:00:00,23.7505
2017-11-16T00:00:00,23.7509
2017-11-17T00:00:00,23.7514
2017-11-20T00:00:00,23.7518
2017-11-21T00:00:00,23.751
2017-11-22T00:00:00,23.7501
2017-11-23T00:00:00,23.7489
2017-11-24T00:00:00,23.7477
2017-11-28T00:00:00,23.7465
2017-11-29T00:00:00,23.744
2017-11-30T00:00:00,23.7413
2017-12-04T00:00:00,23.7388
2017-12-05T00:00:00,23.7376
2017-12-06T00:00:00,23.7305
2017-12-07T00:00:00,23.7234
2017-12-08T00:00:00,23.7176
2017-12-11T00:00:00,23.7117
2017-12-12T00:00:00,23.706
2017-12-13T00:00:00,23.703
2017-12-14T00:00:00,23.6999
2017-12-15T00:00:00,23.7029
2017-12-18T00:00:00,23.7057
2017-12-19T00:00:00,23.7085
2017-12-20T00:00:00,23.7168
2017-12-21T00:00:00,23.7249
2017-12-22T00:00:00,23.7303
2017-12-26T00:00:00,23.7357
2017-12-27T00:00:00,23.741
2017-12-28T00:00:00,23.7471
2017-12-29T00:00:00,23.753
2018-01-02T00:00:00,23.753
2018-01-03T00:00:00,23.7537
2018-01-04T00:00:00,23.7543
2018-01-05T00:00:00,23.7549
2018-01-08T00:00:00,23.7577
2018-01-09T00:00:00,23.7606
2018-01-10T00:00:00,23.7627
2018-01-11T00:00:00,23.765
2018-01-12T00:00:00,23.7671
2018-01-15T00:00:00,23.7693
2018-01-16T00:00:00,23.7714
2018-01-17T00:00:00,23.7714
2018-01-18T00:00:00,23.7714
2018-01-19T00:00:00,23.7714
2018-01-22T00:00:00,23.7714
2018-01-23T00:00:00,23.7714
2018-01-24T00:00:00,23.7714
2018-01-25T00:00:00,23.7714
2018-01-26T00:00:00,23.7714
2018-01-29T00:00:00,23.7637
2018-01-30T00:00:00,23.7561
2018-01-31T00:00:00,23.7484
2018-02-01T00:00:00,23.7407
2018-02-02T00:00:00,23.733
2018-02-05T00:00:00,23.7254
2018-02-06T00:00:00,23.7177
2018-02-07T00:00:00,23.7177
2018-02-08T00:00:00,23.7177
2018-02-09T00:00:00,23.7177
2018-02-12T00:00:00,23.7172
2018-02-13T00:00:00,23.7166
2018-02-14T00:00:00,23.7161
2018-02-15T00:00:00,23.7156
2018-02-16T00:00:00,23.7151
2018-02-19T00:00:00,23.7209
2018-02-20T00:00:00,23.7269
2018-02-21T00:00:00,23.7335
2018-02-22T00:00:00,23.74
2018-02-23T00:00:00,23.7466
2018-02-26T00:00:00,23.7505
